Elementary Schools,2013 growth,2012 base,,growth,,,,,,,,source
  Independence Elementary,778,787,,-9,,,,,,,,
  Ivanhoe Elementary,944,950,,-6,,,,,,,,
  Ivy Academia,822,864,,-42,,,,,,,,
  Jaime Escalante Elementary,767,735,,32,,,,,,,,
  John B. Monlux Elementary,828,832,,-4,,,,,,,,
  John W. Mack Elementary,721,738,,-17,,,,,,,,
  Judith F. Baca Arts Academy,679,671,,8,,,,,,,,
  Julie Korenstein Elementary,720,760,,-40,,,,,,,,
  Justice Street Academy Charter,901,894,,7,,,,,,,,
  Kenter Canyon Elementary,960,946,,14,,,,,,,,
  Kentwood Elementary,892,878,,14,,,,,,,,
  Kester Avenue Elementary,913,901,,12,,,,,,,,
  Kingsley Elementary,789,798,,-9,,,,,,,,
  KIPP Empower Academy,991,B,,B,,,,,,,,
  KIPP Raices Academy,970,961,,9,,,,,,,,
  Kittridge Street Elementary,810,811,,-1,,,,,,,,
  Knollwood Preparatory Academy,844,873,,-29,,,,,,,,
  La Salle Avenue Elementary,628,654,,-26,,,,,,,,
  Lafayette Park Primary Center,,,,,,,,,,,,
  Lake Street Primary,,,,,,,,,,,,
  Lanai Road Elementary,951,963,,-12,,,,,,,,
  Langdon Avenue Elementary,722,757,,-35,,,,,,,,
  Lankershim Elementary,798,822,,-24,,,,,,,,
  Larchmont Charter,909,923,,-14,,,,,,,,
  Larchmont Charter-West Hollywood,932,923,,9,,,,,,,,
  Lassen Elementary,784,769,,15,,,,,,,,
  Latona Avenue Elementary,729,746,,-17,,,,,,,,
  Laurel Elementary,756,789,,-33,,,,,,,,
  Leapwood Avenue Elementary,774,783,,-9,,,,,,,,
  Leland Street Elementary,795,818,,-23,,,,,,,,
  Lemay Street Elementary,865,894,,-29,,,,,,,,
  Lenicia B. Weemes Elementary,751,741,,10,,,,,,,,
  Leo Politi Elementary,746,753,,-7,,,,,,,,
  Liberty Boulevard Elementary,781,782,,-1,,,,,,,,
  Liggett Street Elementary,779,780,,-1,,,,,,,,
  Lillian Street Elementary,768,770,,-2,,,,,,,,
  Limerick Avenue Elementary,768,757,,11,,,,,,,,
  Lockhurst Drive Charter Elementary,868,874,,-6,,,,,,,,
  Lockwood Avenue Elementary,782,780,,2,,,,,,,,
  Logan Street Elementary,746,741,,5,,,,,,,,
  Loma Vista Elementary,785,793,,-8,,,,,,,,
  Lomita Math/Science/Technology Magnet,891,895,,-4,,,,,,,,
  Loren Miller Elementary,700,717,,-17,,,,,,,,
  Lorena Street Elementary,731,735,,-4,,,,,,,,
  Loreto Street Elementary,716,755,,-39,,,,,,,,
  Lorne Street Elementary,825,830,,-5,,,,,,,,
  Los Angeles Elementary,788,797,,-9,,,,,,,,
  Los Feliz Charter School for the Arts,835,844,,-9,,,,,,,,
  Los Feliz Elementary,793,813,,-20,,,,,,,,
  Lou Dantzler Preparatory Charter Element,796,793,,3,,,,,,,,
  Lovelia P. Flournoy Elementary,672,708,,-36,,,,,,,,
  Loyola Village Elementary,817,861,,-44,,,,,,,,
  Lucille Roybal-Allard Elementary,714,B,,B,,,,,,,,
  MacArthur Park Elementary School for the,725,B,,B,,,,,,,,
  Madison Elementary,802,836,,-34,,,,,,,,
  Magnolia Avenue Elementary,771,704,,67,,,,,,,,
  Magnolia Science Academy 7,904,906*,,-2,,,,,,,,
  Main Street Elementary,744,740,,4,,,,,,,,
  Malabar Street Elementary,753,763,,-10,,,,,,,,
  Manchester Avenue Elementary,764,782,,-18,,,,,,,,
  Manhattan Place Elementary,731,672,,59,,,,,,,,
  Maple Primary Center,,,,,,,,,,,,
  Mar Vista Elementary,913,921,,-8,,,,,,,,
  Marianna Avenue Elementary,794,795,,-1,,,,,,,,
  Marlton,530,543,,-13,,,,,,,,
  Marquez Avenue Elementary,934,929,,5,,,,,,,,
  Martha Escutia Primary Center,,,,,,,,,,,,
  Martin Luther King Jr. Elementary,716,752,,-36,,,,,,,,
  Marvin Elementary,794,800,,-6,,,,,,,,
  Maurice Sendak Elementary,812,815,,-3,,,,,,,,
  Mayall Street Elementary,860,827,,33,,,,,,,,
  Mayberry Street Elementary,781,768,,13,,,,,,,,
  Maywood Elementary,864,872,,-8,,,,,,,,
  McKinley Avenue Elementary,721,726,,-5,,,,,,,,
  Melrose Avenue Elementary,884,882,,2,,,,,,,,
  Melvin Avenue Elementary,786,765,,21,,,,,,,,
  Menlo Avenue Elementary,753,783,,-30,,,,,,,,
  Meyler Street Elementary,745,743,,2,,,,,,,,
  Micheltorena Street Elementary,741,715,,26,,,,,,,,
  Mid-City's Prescott School of Enriched S,801,819,,-18,,,,,,,,
  Middleton Primary Center,,,,,,,,,,,,
  Middleton Street Elementary,793,763,,30,,,,,,,,
  Milagro Charter,885,894,,-9,,,,,,,,
  Miles Avenue Elementary,768,803,,-35,,,,,,,,
  Miramonte Elementary,708,676,,32,,,,,,,,
  Montague Charter Academy,792,800,,-8,,,,,,,,
  Montara Avenue Elementary,768,747,,21,,,,,,,,
  Monte Vista Street Elementary,748,752,,-4,,,,,,,,
  Morningside Elementary,793,800,,-7,,,,,,,,
  Morris K. Hamasaki Elementary,756,795,,-39,,,,,,,,
  Mountain View Elementary,901,872,,29,,,,,,,,
  Mt. Washington Elementary,908,908,,0,,,,,,,,
  Multicultural Learning Center,791,781,,10,,,,,,,,
  Multnomah Street Elementary,844,834,,10,,,,,,,,
  Murchison Street Elementary,730,732,,-2,,,,,,,,
  N.E.W. Academy Canoga Park,814,829,,-15,,,,,,,,
  N.E.W. Academy of Science and Arts,797,838,,-41,,,,,,,,
  Napa Street Elementary,812,799,,13,,,,,,,,
  Nestle Avenue Charter,886,889,,-3,,,,,,,,
  Nevada Avenue Elementary,811,797,,14,,,,,,,,
  Nevin Avenue Elementary,775,745,,30,,,,,,,,
  New Heights Charter,745,804,,-59,,,,,,,,
  New Open World Academy,728,709,,19,,,,,,,,
  Newcastle Elementary,843,862,,-19,,,,,,,,
  Ninety-Fifth Street Elementary,757,760,,-3,,,,,,,,
  Ninety-Ninth Street Elementary,793,790,,3,,,,,,,,
  Ninety-Second Street Elementary,809,816,,-7,,,,,,,,
  Ninety-Sixth Street Elementary,811,821,,-10,,,,,,,,
  Ninety-Third Street Elementary,695,730,,-35,,,,,,,,
  Noble Avenue Elementary,803,816,,-13,,,,,,,,
  Nora Sterry Elementary,815,801,,14,,,,,,,,
  Normandie Avenue Elementary,740,734,,6,,,,,,,,
  Normont Elementary,767,787,,-20,,,,,,,,
  Norwood Street Elementary,729,729,,0,,,,,,,,
  Nueva Vista Elementary,809,817,,-8,,,,,,,,
  O'Melveny Elementary,794,782,,12,,,,,,,,
  Ocean Charter,780,875,,-95,,,,,,,,
  Olympic Primary Center,,,,,,,,,,,,
  One Hundred Eighteenth Street,774,801,,-27,,,,,,,,
  One Hundred Eighty-Sixth Street Elementa,838,845,,-7,,,,,,,,
  One Hundred Fifty-Sixth Street Elementar,909,908,,1,,,,,,,,
  One Hundred Fifty-Third Street,738,735,,3,,,,,,,,
  One Hundred Ninth Street Elementary,691,732,,-41,,,,,,,,
  One Hundred Seventh Street Elementary,670,699,,-29,,,,,,,,
  One Hundred Sixteenth Street Elementary,752,775,,-23,,,,,,,,
  One Hundred Thirty-Fifth Street Elementa,752,761,,-9,,,,,,,,
  One Hundred Twelfth Street Elementary,642,670,,-28,,,,,,,,
  One Hundred Twenty-Second Street Element,842,817,,25,,,,,,,,
  Open Charter Magnet,917,913,,4,,,,,,,,
  Osceola Street Elementary,787,812,,-25,,,,,,,,
  Our Community Charter,864,870,,-6,,,,,,,,
  Overland Avenue Elementary,946,958,,-12,,,,,,,,
  Oxnard Street Elementary,804,823,,-19,,,,,,,,
  Pacific Boulevard,803,819,,-16,,,,,,,,
  Pacoima Charter Elementary,793,787,,6,,,,,,,,
  Palisades Charter Elementary,953,946,,7,,,,,,,,
  Palms Elementary,816,827,,-11,,,,,,,,
  Panorama City Elementary,683,688,,-5,,,,,,,,
  Para Los Ninos - Evelyn Thurman Gratts P,,,,,,,,,,,,
  Para Los Ninos Charter,796,772,,24,,,,,,,,
  Park Avenue Elementary,773,803,,-30,,,,,,,,
  Park Western Place Elementary,956,947,,9,,,,,,,,
  Parmelee Avenue Elementary,747,745,,2,,,,,,,,
  Parthenia Street Elementary,810,793,,17,,,,,,,,
  Paseo del Rey Fundamental,864,883,,-19,,,,,,,,
  Pinewood Avenue Elementary,784,796,,-12,,,,,,,,
  Plainview Academic Charter Academy,795,776,,19,,,,,,,,
  Playa del Rey Elementary,903,891,,12,,,,,,,,
  Playa Vista Elementary,900,B,,B,,,,,,,,
  Plummer Elementary,811,848,,-37,,,,,,,,
  Point Fermin Elementary,851,852,,-1,,,,,,,,
  Pomelo Community Charter,876,894,,-18,,,,,,,,
  Porter Ranch Community,924,B,,B,,,,,,,,
  President Avenue Elementary,799,811,,-12,,,,,,,,
  Puente Charter,,,,,,,,,,,,
  Purche Avenue Elementary,782,787,,-5,,,,,,,,
  Queen Anne Place Elementary,814,835,,-21,,,,,,,,
  Quincy Jones Elementary,781,730,,51,,,,,,,,
  Ramona Elementary,776,786,,-10,,,,,,,,
  Ranchito Avenue Elementary,808,809,,-1,,,,,,,,
  Raymond Avenue Elementary,702,717,,-15,,,,,,,,
  Reseda Elementary,819,829,,-10,,,,,,,,
  Ricardo Lizarraga Elementary,783,775,,8,,,,,,,,
  Richard Riordan Primary Center,,,,,,,,,,,,
  Richland Avenue Elementary,786,785,,1,,,,,,,,
  Rio Vista Elementary,898,904,,-6,,,,,,,,
  Ritter Elementary,753,762,,-9,,,,,,,,
  Riverside Drive Charter Elementary,866,865,,1,,,,,,,,
  Robert F. Kennedy Elementary,718,742,,-24,,,,,,,,
  Robert Hill Lane Elementary,837,813,,24,,,,,,,,
  Rockdale Elementary,834,849,,-15,,,,,,,,
  Rosa Parks Learning Center,730,732,,-2,,,,,,,,
  Roscoe Elementary,777,789,,-12,,,,,,,,
  Roscomare Road Elementary,968,963,,5,,,,,,,,
  Rosemont Avenue Elementary,745,776,,-31,,,,,,,,
  Rosewood Avenue Elementary,836,833,,3,,,,,,,,
  Rowan Avenue Elementary,797,799,,-2,,,,,,,,
  Russell Elementary,760,749,,11,,,,,,,,
  San Antonio Elementary,792,779,,13,,,,,,,,
  San Fernando Elementary,763,784,,-21,,,,,,,,
