Elementary Schools,2013 growth,2012 base,,growth,,,,,,,,source
  New Village Charter High,555*,551*,,4,,,,,,,,
  Odyssey Continuation,615*,544*,,71,,,,,,,,
  Owensmouth Continuation,589*,534*,,55,,,,,,,,
  Phoenix Continuation,621*,694*,,-73,,,,,,,,
  Pueblo de Los Angeles Continuation,423*,488*,,-65,,,,,,,,
  Ramona Opportunity High,459*,548*,,-89,,,,,,,,
  Richard A. Alonzo Community Day,576*,531*,,45,,,,,,,,
  Robert H. Lewis Continuation,464*,437*,,27,,,,,,,,
  San Antonio Continuation,563*,505*,,58,,,,,,,,
  Simon Rodia Continuation,410*,409*,,1,,,,,,,,
  Stoney Point Continuation,442*,544*,,-102,,,,,,,,
  Thomas Riley High,533*,487*,,46,,,,,,,,
  Tri-C Community Day,391*,387*,,4,,,,,,,,
  View Park Continuation,483*,559*,,-76,,,,,,,,
  West Hollywood Opportunity,617*,629*,,-12,,,,,,,,
  Whitman Continuation,623*,593*,,30,,,,,,,,
  Whitney Young Continuation,616*,570*,,46,,,,,,,,
  Will Rogers Continuation,428*,456*,,-28,,,,,,,,
  William J. Johnston Community Day,514*,512*,,2,,,,,,,,
  William Tell Aggeler Opportunity High,599*,B,,B,,,,,,,,
  Youth Opportunities Unlimited,544*,501,,43,,,,,,,,
  Zane Grey Continuation,424*,460*,,-36,,,,,,,,
